clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.642,0.558,0.315,0.166,0.072,0.049,0.039,0.033,0.031,0.029,0.027,0.011,0.564,0.295,0.102,0.011,0.001,0.0,0.0,0.554,0.236,0.048,0.002,0.0,0.0,0.0,0.621,0.472,0.31,0.122,0.045,0.02,0.003
0.689,0.569,0.288,0.168,0.112,0.096,0.088,0.082,0.076,0.07,0.067,0.01,0.575,0.206,0.046,0.003,0.0,0.0,0.0,0.556,0.121,0.012,0.0,0.0,0.0,0.0,0.654,0.434,0.233,0.07,0.024,0.012,0.002
0.633,0.534,0.266,0.131,0.068,0.054,0.048,0.045,0.042,0.039,0.038,0.01,0.54,0.237,0.064,0.005,0.001,0.0,0.0,0.528,0.168,0.027,0.001,0.0,0.0,0.0,0.606,0.439,0.267,0.09,0.03,0.016,0.003
0.63,0.531,0.266,0.138,0.073,0.055,0.051,0.045,0.045,0.042,0.04,0.01,0.538,0.228,0.06,0.004,0.001,0.0,0.0,0.526,0.162,0.021,0.001,0.0,0.0,0.0,0.606,0.435,0.266,0.09,0.035,0.015,0.003
0.544,0.488,0.308,0.173,0.071,0.041,0.031,0.025,0.022,0.021,0.019,0.01,0.493,0.309,0.142,0.023,0.003,0.0,0.0,0.487,0.267,0.09,0.005,0.0,0.0,0.0,0.531,0.436,0.321,0.157,0.078,0.04,0.005
0.58,0.52,0.309,0.159,0.05,0.025,0.016,0.011,0.009,0.008,0.007,0.008,0.525,0.311,0.132,0.017,0.002,0.0,0.0,0.519,0.263,0.077,0.004,0.0,0.0,0.0,0.567,0.446,0.303,0.131,0.052,0.026,0.002
0.665,0.544,0.265,0.149,0.088,0.071,0.066,0.058,0.054,0.053,0.053,0.009,0.551,0.194,0.041,0.002,0.0,0.0,0.0,0.532,0.119,0.009,0.0,0.0,0.0,0.0,0.629,0.416,0.216,0.065,0.02,0.009,0.002
0.648,0.534,0.263,0.149,0.086,0.067,0.06,0.056,0.053,0.05,0.049,0.008,0.541,0.202,0.044,0.002,0.0,0.0,0.0,0.524,0.127,0.012,0.0,0.0,0.0,0.0,0.613,0.412,0.222,0.065,0.022,0.01,0.002
0.532,0.476,0.289,0.159,0.072,0.048,0.039,0.031,0.028,0.026,0.025,0.01,0.481,0.286,0.121,0.017,0.002,0.0,0.0,0.474,0.239,0.07,0.004,0.0,0.0,0.0,0.519,0.42,0.295,0.136,0.061,0.03,0.005
0.624,0.559,0.359,0.219,0.106,0.071,0.054,0.048,0.044,0.041,0.039,0.012,0.564,0.352,0.164,0.029,0.006,0.002,0.0,0.557,0.302,0.098,0.009,0.001,0.0,0.0,0.608,0.481,0.341,0.152,0.064,0.033,0.004
0.671,0.559,0.284,0.167,0.107,0.088,0.081,0.072,0.066,0.062,0.057,0.01,0.565,0.213,0.051,0.003,0.0,0.0,0.0,0.547,0.139,0.017,0.0,0.0,0.0,0.0,0.646,0.442,0.246,0.085,0.032,0.017,0.003
0.654,0.538,0.25,0.136,0.077,0.06,0.055,0.05,0.048,0.044,0.042,0.009,0.545,0.198,0.043,0.002,0.0,0.0,0.0,0.53,0.132,0.014,0.0,0.0,0.0,0.0,0.624,0.43,0.237,0.072,0.027,0.011,0.002
0.68,0.555,0.259,0.154,0.099,0.082,0.072,0.063,0.059,0.055,0.052,0.009,0.559,0.176,0.033,0.003,0.001,0.0,0.0,0.534,0.103,0.009,0.0,0.0,0.0,0.0,0.642,0.412,0.214,0.059,0.024,0.01,0.002
0.681,0.562,0.286,0.174,0.122,0.102,0.087,0.079,0.074,0.073,0.073,0.01,0.568,0.201,0.044,0.003,0.001,0.0,0.0,0.547,0.122,0.01,0.0,0.0,0.0,0.0,0.645,0.425,0.218,0.062,0.021,0.009,0.001
0.67,0.548,0.268,0.158,0.099,0.079,0.069,0.063,0.061,0.059,0.058,0.01,0.552,0.193,0.039,0.003,0.0,0.0,0.0,0.535,0.118,0.011,0.0,0.0,0.0,0.0,0.638,0.421,0.227,0.072,0.027,0.012,0.003
0.669,0.57,0.315,0.182,0.1,0.073,0.063,0.056,0.053,0.05,0.048,0.009,0.577,0.265,0.078,0.006,0.001,0.0,0.0,0.561,0.187,0.03,0.002,0.0,0.0,0.0,0.641,0.462,0.284,0.095,0.034,0.013,0.001
0.653,0.542,0.284,0.169,0.108,0.091,0.081,0.072,0.068,0.066,0.064,0.011,0.547,0.22,0.057,0.004,0.001,0.0,0.0,0.529,0.146,0.02,0.0,0.0,0.0,0.0,0.621,0.431,0.252,0.085,0.033,0.016,0.002
0.649,0.556,0.292,0.153,0.074,0.05,0.043,0.038,0.034,0.033,0.034,0.01,0.563,0.259,0.071,0.005,0.001,0.0,0.0,0.549,0.187,0.027,0.001,0.0,0.0,0.0,0.626,0.457,0.28,0.092,0.036,0.016,0.002
0.684,0.565,0.308,0.218,0.164,0.142,0.131,0.122,0.113,0.106,0.096,0.009,0.57,0.216,0.058,0.005,0.001,0.0,0.0,0.551,0.132,0.016,0.001,0.0,0.0,0.0,0.65,0.443,0.246,0.084,0.032,0.015,0.003
0.635,0.549,0.294,0.158,0.074,0.055,0.045,0.042,0.038,0.035,0.034,0.006,0.555,0.257,0.072,0.006,0.001,0.0,0.0,0.543,0.186,0.027,0.001,0.0,0.0,0.0,0.614,0.453,0.28,0.102,0.042,0.019,0.004
0.47,0.445,0.353,0.267,0.156,0.095,0.065,0.046,0.035,0.027,0.023,0.01,0.447,0.361,0.275,0.144,0.07,0.036,0.002,0.445,0.347,0.246,0.103,0.039,0.016,0.0,0.458,0.38,0.292,0.165,0.088,0.048,0.005
0.615,0.515,0.266,0.148,0.078,0.056,0.046,0.041,0.038,0.038,0.035,0.012,0.52,0.218,0.055,0.003,0.0,0.0,0.0,0.507,0.144,0.017,0.0,0.0,0.0,0.0,0.587,0.406,0.233,0.072,0.027,0.011,0.002
0.703,0.58,0.297,0.19,0.133,0.109,0.094,0.088,0.082,0.075,0.071,0.009,0.585,0.205,0.046,0.004,0.0,0.0,0.0,0.563,0.118,0.011,0.0,0.0,0.0,0.0,0.666,0.447,0.24,0.068,0.025,0.01,0.003
0.669,0.554,0.275,0.17,0.116,0.097,0.086,0.081,0.076,0.07,0.068,0.01,0.56,0.203,0.045,0.003,0.0,0.0,0.0,0.543,0.129,0.015,0.0,0.0,0.0,0.0,0.642,0.426,0.232,0.076,0.028,0.012,0.003
0.474,0.443,0.347,0.244,0.13,0.078,0.052,0.036,0.028,0.023,0.021,0.009,0.446,0.356,0.25,0.11,0.043,0.016,0.0,0.444,0.34,0.214,0.069,0.018,0.004,0.0,0.462,0.397,0.312,0.181,0.106,0.06,0.01
