clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.343,0.262,0.099,0.043,0.024,0.022,0.019,0.017,0.016,0.014,0.014,0.009,0.267,0.079,0.016,0.001,0.0,0.0,0.0,0.255,0.051,0.006,0.0,0.0,0.0,0.0,0.282,0.106,0.031,0.005,0.003,0.001,0.0
0.424,0.284,0.092,0.052,0.044,0.037,0.033,0.028,0.024,0.024,0.021,0.009,0.288,0.046,0.005,0.0,0.0,0.0,0.0,0.26,0.017,0.0,0.0,0.0,0.0,0.0,0.311,0.078,0.023,0.007,0.004,0.003,0.0
0.357,0.245,0.064,0.027,0.019,0.023,0.021,0.018,0.018,0.017,0.015,0.009,0.252,0.044,0.006,0.0,0.0,0.0,0.0,0.235,0.019,0.001,0.0,0.0,0.0,0.0,0.275,0.07,0.016,0.004,0.001,0.001,0.0
0.36,0.247,0.064,0.026,0.018,0.019,0.018,0.016,0.016,0.015,0.015,0.008,0.251,0.042,0.005,0.0,0.0,0.0,0.0,0.236,0.019,0.0,0.0,0.0,0.0,0.0,0.274,0.07,0.019,0.003,0.002,0.001,0.0
0.281,0.224,0.106,0.049,0.022,0.015,0.015,0.013,0.013,0.014,0.015,0.008,0.228,0.098,0.025,0.002,0.0,0.0,0.0,0.222,0.075,0.01,0.0,0.0,0.0,0.0,0.245,0.119,0.043,0.01,0.003,0.003,0.001
0.289,0.226,0.09,0.036,0.012,0.011,0.011,0.011,0.011,0.009,0.009,0.008,0.23,0.082,0.02,0.001,0.0,0.0,0.0,0.223,0.058,0.008,0.0,0.0,0.0,0.0,0.248,0.092,0.029,0.005,0.002,0.001,0.0
0.38,0.264,0.094,0.043,0.031,0.031,0.029,0.029,0.028,0.031,0.031,0.008,0.269,0.06,0.009,0.0,0.0,0.0,0.0,0.252,0.028,0.002,0.0,0.0,0.0,0.0,0.29,0.093,0.024,0.005,0.004,0.002,0.0
0.363,0.258,0.084,0.041,0.026,0.025,0.026,0.027,0.023,0.023,0.022,0.008,0.263,0.055,0.007,0.0,0.0,0.0,0.0,0.246,0.028,0.001,0.0,0.0,0.0,0.0,0.283,0.09,0.022,0.006,0.004,0.001,0.0
0.277,0.23,0.109,0.048,0.019,0.013,0.012,0.012,0.013,0.015,0.015,0.008,0.233,0.108,0.036,0.004,0.0,0.0,0.0,0.227,0.087,0.017,0.0,0.0,0.0,0.0,0.251,0.124,0.052,0.012,0.004,0.003,0.0
0.301,0.247,0.118,0.056,0.02,0.014,0.012,0.013,0.014,0.015,0.016,0.009,0.252,0.115,0.038,0.005,0.0,0.0,0.0,0.245,0.09,0.017,0.0,0.0,0.0,0.0,0.265,0.132,0.051,0.012,0.005,0.001,0.0
